10000,1229,1230,1,0.081366965,0.069346633
20000,2262,2267,5,0.221043324,
30000,3245,3251,6,0.184899846,
40000,4203,4204,1,0.023792529,
50000,5133,5135,2,0.038963569,
60000,6057,6049,8,0.132078587,
70000,6935,6949,14,0.201874549,
80000,7837,7838,1,0.012759985,
90000,8713,8717,4,0.045908413,
100000,9592,9588,4,0.041701418,
110000,10453,10451,2,0.019133263,
120000,11301,11308,7,0.061941421,
130000,12159,12159,0,0,
140000,13010,13004,6,0.04611837,
150000,13848,13844,4,0.028885038,
160000,14683,14679,4,0.027242389,
170000,15497,15511,14,0.090340066,
180000,16342,16338,4,0.024476808,
190000,17170,17161,9,0.052417006,
200000,17984,17981,3,0.016681495,
210000,18807,18798,9,0.047854522,
220000,19618,19611,7,0.035681517,
230000,20437,20422,15,0.073396291,
240000,21221,21230,9,0.042410819,
250000,22044,22035,9,0.040827436,
260000,22837,22837,0,0,
270000,23642,23637,5,0.021148803,
280000,24432,24435,3,0.012278978,
290000,25224,25230,6,0.02378687,
300000,25997,26023,26,0.10001154,
310000,26800,26815,15,0.055970149,
320000,27608,27604,4,0.014488554,
330000,28404,28391,13,0.045768202,
340000,29182,29176,6,0.02056062,
350000,29977,29960,17,0.056710144,
360000,30757,30742,15,0.048769386,
370000,31522,31522,0,0,
380000,32300,32301,1,0.003095975,
390000,33067,33078,11,0.033265794,
400000,33860,33853,7,0.020673361,
410000,34614,34627,13,0.037557058,
420000,35390,35400,10,0.02825657,
430000,36162,36171,9,0.024888004,
440000,36941,36941,0,0,
450000,37706,37709,3,0.007956293,
460000,38458,38476,18,0.046804306,
470000,39223,39242,19,0.048440966,
480000,40005,40007,2,0.004999375,
490000,40766,40770,4,0.009812098,
500000,41538,41532,6,0.014444605,
510000,42291,42293,2,0.004729139,
520000,43061,43053,8,0.018578296,
530000,43825,43812,13,0.029663434,
540000,44572,44570,2,0.004487122,
550000,45322,45327,5,0.01103217,
560000,46072,46082,10,0.021705157,
570000,46819,46837,18,0.03844593,
580000,47588,47591,3,0.00630411,
590000,48351,48343,8,0.016545676,
600000,49098,49095,3,0.006110229,
610000,49861,49846,15,0.030083632,
620000,50612,50596,16,0.031613056,
630000,51341,51345,4,0.007791044,
640000,52074,52093,19,0.036486538,
650000,52831,52840,9,0.017035453,
660000,53564,53587,23,0.042939288,
670000,54309,54332,23,0.042350255,
680000,55063,55077,14,0.025425422,
690000,55815,55821,6,0.010749798,
700000,56543,56564,21,0.037139876,
710000,57306,57307,1,0.001745018,
720000,58029,58048,19,0.03274225,
730000,58789,58789,0,0,
740000,59531,59529,2,0.003359594,
750000,60238,60269,31,0.051462532,
760000,60978,61007,29,0.047558136,
770000,61733,61745,12,0.01943855,
780000,62468,62483,15,0.024012294,
790000,63206,63219,13,0.020567668,
800000,63951,63955,4,0.006254789,
810000,64683,64690,7,0.010822009,
820000,65416,65425,9,0.013758102,
830000,66161,66159,2,0.003022929,
840000,66890,66892,2,0.002989984,
850000,67617,67624,7,0.010352426,
860000,68342,68356,14,0.020485207,
870000,69095,69088,7,0.010130979,
880000,69823,69819,4,0.005728771,
890000,70555,70549,6,0.008504004,
900000,71274,71278,4,0.005612145,
910000,72026,72007,19,0.026379363,
920000,72734,72736,2,0.002749746,
930000,73474,73463,11,0.014971282,
940000,74187,74191,4,0.00539178,
950000,74907,74917,10,0.013349887,
960000,75618,75643,25,0.033060911,
970000,76350,76369,19,0.024885396,
980000,77067,77094,27,0.035034451,
990000,77777,77819,42,0.05400054,
1000000,78498,78543,45,0.057326301,
